Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
94,SNO2,Nitrogen dioxide (NO2) storage flux,nmolNO2 m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,SO2,Sulfur Dioxide (SO2) mole fraction in wet air,nmolSO2 mol-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,SO3,Ozone (O3) storage flux,nmolO3 m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,SPEC_NIR_IN,"Radiation (near infra-red band), incoming (hemispherical)",W m-2 nm-1,0,2,2.1,-0.1,2,9,9,0.00E+00,0.00E+00,7.57E+00,8.12E+00,3.36E-01,0.335,3.437438,3.68965
98,SPEC_NIR_OUT,"Radiation (near infra-red band), outgoing",W m-2 sr-1 nm-1,0,2,2.1,-0.1,2,8,8,0.00E+00,0.00E+00,2.19E+00,2.32E+00,4.67E-02,0.041,0.5679168,0.59576
99,SPEC_NIR_REFL,Reflectance (near infra-red band),nondimensional,0,1,1.05,-0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,SPEC_PRI_REF_IN,"Radiation for PRI reference band (e.g., 570 nm), incoming (hemispherical)",W m-2 nm-1,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,SPEC_PRI_REF_OUT,"Radiation for PRI reference band (e.g., 570 nm), outgoing",W m-2 sr-1 nm-1,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,SPEC_PRI_REF_REFL,"Reflectance for PRI reference band (e.g., 570 nm)",nondimensional,0,1,1.05,-0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,SPEC_PRI_TGT_IN,"Radiation for PRI target band (e.g., 531 nm), incoming (hemispherical)",W m-2 nm-1,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,SPEC_PRI_TGT_OUT,"Radiation for PRI target band (e.g., 531 nm), outgoing",W m-2 sr-1 nm-1,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,SPEC_PRI_TGT_REFL,"Reflectance for PRI target band (e.g., 531 nm)",nondimensional,0,1,1.05,-0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,SPEC_RED_IN,"Radiation (red band), incoming (hemispherical)",W m-2 nm-1,0,2,2.1,-0.1,2,9,9,0.00E+00,0.00E+00,7.98E+00,8.53E+00,4.18E-01,0.41791667,2.577584,2.7472
107,SPEC_RED_OUT,"Radiation (red band), outgoing",W m-2 sr-1 nm-1,0,2,2.1,-0.1,2,9,9,0.00E+00,0.00E+00,1.16E+00,1.23E+00,1.59E-02,0.015025,0.5076,0.544
108,SPEC_RED_REFL,Reflectance (red band),nondimensional,0,1,1.05,-0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,SR,Simple Ratio,nondimensional,0,10,10.5,-0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
